t,S,Analytic,QNN$_7$,QNN$_4$,R-QNN$^{(2)}_4$,R-QNN$^{(3)}_4$
0.0,19.388549193996667,0.0005244458045346786,-1.5876698,-2.7451272,-1.220278,-0.96075034
0.0,19.477487493051697,0.0005740838342761703,-1.5822959,-2.7316504,-1.2176661,-0.9611008
0.0,19.566425792106727,0.0006278688436787416,-1.576755,-2.717957,-1.2149458,-0.96136785
0.0,19.655364091161758,0.0006860978091590836,-1.571039,-2.7040505,-1.2121003,-0.96151805
0.0,19.744302390216788,0.0007490850288539019,-1.5651476,-2.6899335,-1.2091463,-0.9615848
0.0,19.83324068927182,0.0008171628583741649,-1.5591311,-2.6756058,-1.2060671,-0.9615431
0.0,19.92217898832685,0.0008906824613746818,-1.5528893,-2.6610713,-1.2028878,-0.9614012
0.0,20.01111728738188,0.0009700145743564634,-1.5465224,-2.6463306,-1.1995833,-0.9611509
0.0,20.10005558643691,0.0010555502850703793,-1.5399551,-2.6313686,-1.1961536,-0.9608004
0.0,20.18899388549194,0.0011477018238402054,-1.5332544,-2.6162064,-1.1926072,-0.9603331
0.0,20.27793218454697,0.0012469033670770326,-1.5263784,-2.6008272,-1.1889522,-0.9597573
0.0,20.366870483602003,0.0013536118522055988,-1.5193272,-2.5852437,-1.185147,-0.9590814
0.0,20.455808782657034,0.001468307803177804,-1.5120924,-2.5694451,-1.1812418,-0.958297
0.0,20.544747081712064,0.0015914961657011069,-1.504724,-2.5534463,-1.1772113,-0.95738745
0.0,20.633685380767094,0.0017237071512629376,-1.4971471,-2.5372348,-1.1730556,-0.95637774
0.0,20.722623679822124,0.0018654970889886782,-1.4894199,-2.5208125,-1.1687748,-0.95525956
0.0,20.811561978877155,0.002017449284325977,-1.4815092,-2.5041878,-1.1643689,-0.95400786
0.0,20.900500277932185,0.0021801748835064833,-1.4734316,-2.4873483,-1.1598377,-0.9526477
0.0,20.989438576987215,0.002354313742695305,-1.4651787,-2.470298,-1.1551898,-0.9511707
0.0,21.078376876042245,0.002540535300699011,-1.456759,-2.4530497,-1.1503999,-0.9495852
0.0,21.167315175097276,0.0027395394540658397,-1.4481473,-2.4355948,-1.1454766,-0.9478829
0.0,21.256253474152306,0.00295205743337653,-1.4393854,-2.417925,-1.1404531,-0.94606376
0.0,21.34519177320734,0.0031788526794899255,-1.43044,-2.4000506,-1.1352794,-0.94410276
0.0,21.43413007226237,0.0034207217184769115,-1.4213109,-2.381968,-1.1299889,-0.94202495
0.0,21.5230683713174,0.0036784950339471545,-1.412015,-2.3636868,-1.1245482,-0.93983865
0.0,21.61200667037243,0.003953037935445186,-1.4025521,-2.345191,-1.1189823,-0.9375105
0.0,21.70094496942746,0.004245251421568924,-1.392889,-2.3264928,-1.1132996,-0.93507385
0.0,21.78988326848249,0.004556073036442274,-1.3830757,-2.30759,-1.107475,-0.93249536
0.0,21.87882156753752,0.004886477718154508,-1.3730621,-2.2884786,-1.101517,-0.9298084
0.0,21.96775986659255,0.005237478637758586,-1.3628733,-2.269165,-1.0954337,-0.9269712
0.0,22.056698165647582,0.005610128027413841,-1.3525176,-2.2496405,-1.089217,-0.9240172
0.0,22.145636464702612,0.006005517996240925,-1.3419867,-2.2299159,-1.0828333,-0.9209297
0.0,22.234574763757642,0.006424781332453319,-1.3312554,-2.209991,-1.0763412,-0.9177253
0.0,22.323513062812676,0.006869092290321455,-1.3203573,-2.1898575,-1.0697072,-0.9143541
0.0,22.412451361867706,0.007339667360524826,-1.3092923,-2.1695151,-1.0629313,-0.910866
0.0,22.501389660922737,0.007837766022448428,-1.2980187,-2.1489727,-1.0560136,-0.90726113
0.0,22.590327959977767,0.008364691476982516,-1.2865782,-2.128232,-1.048954,-0.9034977
0.0,22.679266259032797,0.0089217913583928,-1.2749541,-2.1072788,-1.0417693,-0.8995924
0.0,22.768204558087827,0.009510458423835466,-1.2631631,-2.0861292,-1.0344343,-0.8955703
0.0,22.857142857142858,0.010132131219107943,-1.2511802,-2.0647712,-1.0269575,-0.8913896
0.0,22.946081156197888,0.010788294719238256,-1.238997,-2.0432105,-1.0193388,-0.8870921
0.0,23.035019455252918,0.011480480942537286,-1.2266469,-2.0214539,-1.0115616,-0.8826277
0.0,23.12395775430795,0.01221026953675855,-1.2140965,-1.9994909,-1.0036676,-0.8780298
0.0,23.21289605336298,0.01297928833603415,-1.2013793,-1.9773275,-0.99561495,-0.8732817
0.0,23.301834352418012,0.01378921388728599,-1.1884785,-1.9549596,-0.98742884,-0.8684001
0.0,23.390772651473043,0.01464177194483457,-1.175394,-1.9323915,-0.9791009,-0.8633683
0.0,23.479710950528073,0.015538737931973468,-1.1621261,-1.9096231,-0.97058934,-0.85818624
0.0,23.568649249583103,0.016481937368294647,-1.1486328,-1.8866503,-0.961961,-0.852854
0.0,23.657587548638134,0.017473246261606734,-1.1349976,-1.8634834,-0.95315737,-0.8473799
0.0,23.746525847693164,0.0185145914633163,-1.1211538,-1.840108,-0.9442536,-0.841764
0.0,23.835464146748194,0.019607950986191836,-1.1071515,-1.8165364,-0.93515795,-0.83598113
